"";"CIDENTIT";"SEXE";"AGE";"STATUT";"PROFCONJ";"NOMBENF";"DIPLOME";"ENFANCE";"ANTECED";"PAOUGA";"CHOIXPA";"EMPLANT";"PROFPERE";"PROFMERE";"DATEPOL";"INFOANT";"CONTANT";"NATCONT";"INFOCONC";"AUTCONC";"QUELCONC";"CONCREUS";"INFOPOST";"ACTIPOST";"RAISENT";"AUTCHOIX";"DELINQ";"VIGILANT";"NOIRSANC";"NOIRFRIC";"NOIREMPL";"NOIRCHOM";"PLAITMET";"DEPLAIT";"COMAUT";"MOTIFAUT";"RASPEUR";"MISPREM";"SORTECOL";"SPORTEVE";"QUARTDIF";"PREMQUAL";"PREMDEF";"ORDREINI";"FORCRECA";"FORCAV";"FORCPROT";"FORCRESP";"ARMRECAL";"ARMVEHIC";"ARMPROT";"ARMRESP";"IMAGDLP";"IMAINSP";"IMPORMET";"PAVAGUES";"EFFIREGL";"RESPMISS";"SECINTER";"AGRESSIV";"PUBOPIN";"CRITPUB";"CRITPERS";"CAUSCRIT";"INFOPUB";"MEDIAIMA";"CONSENT";"RAISCONS";"PORTUNIF";"FUTURMET";"MUTATION";"SPECIALI";"POSEVALI";"ENVCONC";"REALICAR";"CONCULT";"PROBCONF";"ATTENSUP";"QUALSUP";"FAUTCOLL";"SITUEXTR";"EVOLIMAG";"POLMUNIC";"SECUPRIV";"EMPLMUNI";"DEONTOL";"ATTFORM";"FORMCOM";"COMPRIS";"COMSOC";"COMGEND";"COMMAGIS";"COMEDUC";"COMTRAV";"COMPROF";"ATTPROF";"MIEUPREP";"BONFORM";"RAISBONN";"SORTIE";"FORMCAR";"AUTSTAG";"STAGJUST";"STAGSOC";"STAGPRIS";"STAGREIN";"STAGPOL";"STAGFIRM";"STAGGEND";"STAGACTI";"GRCONJ";"GRIND";"GRPERE";"GRMERE";"profconj";"conj_pol";"emplant";"profpere";"profmere";"mere_pol";"pere_pol";"ant_pol";"cont_ami";"cont_fam";"cont_aut";"exp_ant";"contant";"par_pol"
"1";1111;"féminin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat technique";"dans une ville petite ou moyenne en métropole";"au chômage";"non concerné";"non concerné";"Chômeurs n'ayant jamais travaillé";"Commerçants et assimilés";"Employés civils et agents de service de la fonction publique";"lycée";"oui";"un ou des gendarmes";"un ami personnel ou de votre famille";"publicité";"oui";"autres concours administratifs civils";"échec";"oui";"vous vous êtes inscrit au chômage ou vous y étiez déjà";"parce qu'on est utile";"non";"à la démission des parents";"les jeunes";"pas vraiment d'accord";"tout à fait d'accord";"pas du tout d'accord";"plutôt d'accord";"on travaille en équipe";"c'est dangereux";"oui";"non réponse";"rassurer les honnêtes gens";"faire respecter la loi";"une tâche comme une autre";"à la police d'assurer le service d'ordre";"multiplie les patrouilles";"d'être honnête";"d'être malhonnête";"je m'en tiendrai aux ordres reçus";"non";"non";"oui";"non";"non";"non";"non";"non";"l'homme à tout faire de la Police Nationale";"un spécialiste de la police judiciaire";"de travailler dans une bonne ambiance";"d'accord avec lui";"rarement";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt d'accord";"plutôt défavorable";"manque de courtoisie, politesse";"manque de courtoisie, politesse";"le comportement de certains policiers";"oui, parce que c'est normal dans un régime démocratique";"plutôt favorable";"oui";"oui pour nature et activités du travail";"vous plaît";"gardien de la paix";"oui";"oui";"oui";"oui";"oui";"commissaire";"la famille";"qu'ils vous laissent prendre des initiatives";"qu'il soit près de ses hommes";"éviter que le public sache";"oui";"n'a pas changé";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"ni l'une, ni l'autre";"un ensemble de normes professionnelles";"des techniques policières";"oui";"oui";"oui";"oui";"oui";"oui";"non";"non";"une solide expérience professionnelle";"prêter assistance";"oui";"non concerné";"à la Police de l'Air et des Frontières";"sera inutile";"pendant la formation continue";"oui";"oui";"non";"non";"oui";"non";"oui";"oui";"Pas de conjoint";"Inactifs";"Artisans, commerçants, chefs d'entreprise";"Employés";36;0;33;5;24;0;0;0;1;0;0;0;1;0
"2";1112;"féminin";"moins de 21 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"aucun";"dans une ville petite ou moyenne en métropole";"élève ou étudiant";"non concerné";"non concerné";"Pas d'emploi antérieur";"Ouvriers non qualifiés de type industriel";"Ouvriers non qualifiés de type industriel";"lycée";"oui";"ni policiers, ni gendarmes";"non concerné";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez continué vos études";"parce qu'on contribue au maintien de l'ordre public";"non";"à la détérioration de la situation économique et sociale";"les jeunes";"plutôt d'accord";"pas vraiment d'accord";"pas du tout d'accord";"plutôt d'accord";"on a beaucoup de contacts humains";"on est mal vu";"non";"métier différent à cause des missions et des tâches particul";"faire peur aux délinquants";"secourir les personnes en danger";"une tâche comme une autre";"aux organisateurs de prendre les mesures nécessaires";"multiplie les patrouilles";"d'être honnête";"de prendre trop d'initiatives";"je m'en tiendrai aux ordres reçus";"non";"oui";"oui";"non";"non";"oui";"oui";"non";"l'homme à tout faire de la Police Nationale";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"pas d'accord avec lui";"rarement";"respecter scurpuleusement le règlement";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt défavorable";"interventions autoritaires non légitimes";"manque de courtoisie, politesse";"le comportement de certains policiers";"oui, parce que c'est normal dans un régime démocratique";"plutôt objective";"oui";"oui pour nature et activités du travail";"vous gêne un peu";"policier";"oui";"oui";"oui";"oui";"oui";"inspecteur";"la famille";"qu'ils décident de tout";"qu'il ait la capacité à commander";"appliquer le règlement et le sanctionner";"oui";"n'a pas changé";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"ni l'une, ni l'autre";"un règlement comme un autre";"des techniques policières";"oui";"oui";"non";"oui";"non";"non";"non";"non";"une solide expérience professionnelle";"faire du maintien de l'ordre";"oui";"non concerné";"à la Police de l'Air et des Frontières";"vous tenir au courant de l'évolution de la législation et de";"inutiles";"non concerné";"non concerné";"non concerné";"non concerné";"non concerné";"non concerné";"non concerné";"non";"Pas de conjoint";"Pas d'emploi antérieur";"Ouvriers";"Ouvriers";36;0;38;36;36;0;0;0;0;0;0;0;0;0
"3";1113;"masculin";"moins de 21 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BEPC";"à la campagne en métropole";"au service national comme appelé";"P.A.";"anticipation de carrière";"Pas d'emploi antérieur";"Cadres de la fonction publique";"Militaires du contingent";"non réponse";"oui";"ni policiers, ni gendarmes";"non réponse";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"pour le déroulement de carrière";"oui";"à la tolérance de la justice";"les immigrés";"pas vraiment d'accord";"pas du tout d'accord";"pas du tout d'accord";"plutôt d'accord";"on se trouve dans des situations variées";"on s'ennuie, c'est monotone";"oui";"métier comme un autre";"faire peur aux délinquants";"faire respecter la loi";"une tâche comme une autre";"aux organisateurs de prendre les mesures nécessaires";"multiplie les patrouilles";"d'être ouvert aux autres";"d'être craintif";"je prendrai des initiatives";"oui";"non";"oui";"non";"non";"non";"oui";"non";"l'homme à tout faire de la Police Nationale";"un collègue";"de travailler dans une bonne ambiance";"pas d'accord avec lui";"souvent";"respecter scurpuleusement le règlement";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt défavorable";"application pointilleuse des réglements";"inefficacité";"l'influence des médias (presse, télévision, radio)";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour emploi, conditions de travail, carrière";"vous est indifférent";"gardien de la paix";"oui";"oui";"non";"oui";"oui";"inspecteur";"les amis";"qu'ils vous associent à leurs décisions";"qu'il soit près de ses hommes";"éviter que le public sache";"oui";"s'est plutôt dégradée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"privé";"un ensemble de normes professionnelles";"autres (généralement toutes ces attentes, ""devenir un bon fl";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"une solide expérience professionnelle";"faire du maintien de l'ordre";"non";"par manque d'expérience du terrain";"en Police Urbaine";"remettre à jour des connaissances oubliées";"pendant la formation continue";"oui";"oui";"oui";"non";"oui";"non";"oui";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Cadres et professions intellectuelles supérieures";"Inactifs";36;0;38;9;41;1;0;0;NA;NA;NA;1;0;0
"4";1114;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat d'enseignement général";"à la campagne en métropole";"détenteur d'un emploi";"non concerné";"non concerné";"Employés de commerce";"Contremaîtres, agents de maîtrise";"Employés civils et agents de service de la fonction publique";"service militaire";"non";"ni policiers, ni gendarmes";"non réponse";"publicité";"non";"non concerné";"non concerné";"oui";"vous avez continué à travailler (emploi, stage, intérim)";"parce qu'on a la sécurité de l'emploi";"oui";"à la détérioration de la situation économique et sociale";"autres (généralement ""tous"")";"pas du tout d'accord";"pas du tout d'accord";"pas du tout d'accord";"pas du tout d'accord";"on se trouve dans des situations variées";"on ne voit que le mauvais côté des gens";"non";"métier différent à cause des missions et des tâches particul";"rassurer les honnêtes gens";"prévenir la délinquance";"une charge anormale qui devrait être confiée à d'autres";"aux organisateurs de prendre les mesures nécessaires";"se fasse discrète";"d'être ouvert aux autres";"de coller aux ordres";"je m'en tiendrai aux ordres reçus";"non";"non";"non";"non";"non";"non";"non";"non";"la vitrine de la police";"un cadre";"de travailler dans une bonne ambiance";"d'accord avec lui";"souvent";"respecter scurpuleusement le règlement";"sont à moduler selon les situations";"plutôt d'accord";"plutôt défavorable";"injustice, favoritisme";"application pointilleuse des réglements";"les missions de la police par nature";"oui, parce que c'est normal dans un régime démocratique";"plutôt favorable";"non";"ne conseille pas";"vous gêne un peu";"fonctionnaire";"oui";"oui";"oui";"oui";"non";"inspecteur";"la famille";"qu'ils vous laissent entièrement libres";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que la hiérarchie le sache";"non";"s'est plutôt dégradée";"c'est normal que les maires se préoccupent de sécurité dans ";"dangereux car ils ne sont pas formés";"ni l'une, ni l'autre";"un règlement comme un autre";"des renseignements sur la façon de se comporter avec les pub";"oui";"non";"non";"non";"non";"oui";"non";"oui";"des qualités pédagogiques";"faire de l'ilotage";"non";"à cause de la variété des tâches, des circonstances, des pub";"à la Police de l'Air et des Frontières";"remettre à jour des connaissances oubliées";"pendant la formation continue";"non";"non";"non";"oui";"non";"non";"non";"oui";"Pas de conjoint";"Employés";"Professions intermédiaires";"Employés";36;0;20;21;24;0;0;0;NA;NA;NA;0;0;0
"5";1115;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat technique";"dans une grande ville de province en métropole";"au service national comme appelé";"P.A.";"curiosité à l'égard du métier";"Pas d'emploi antérieur";"Ouvriers qualifiés de la manutention, du magasinage et du tr";"Personnels des services directs aux particuliers";"lycée";"oui";"un ou des policiers";"un ami personnel ou de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"pour le déroulement de carrière";"oui";"à la tolérance de la justice";"les immigrés";"pas vraiment d'accord";"plutôt d'accord";"pas du tout d'accord";"pas vraiment d'accord";"on a beaucoup de contacts humains";"on est mal vu";"non";"métier différent à cause des missions et des tâches particul";"faire peur aux délinquants";"faire respecter la loi";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être honnête";"d'être malhonnête";"je prendrai des initiatives";"oui";"non";"oui";"non";"non";"non";"oui";"non";"la vitrine de la police";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"d'accord avec lui";"rarement";"mener à bien la mission";"sont à moduler selon les situations";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"inefficacité";"l'influence des médias (presse, télévision, radio)";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour nature et activités du travail";"vous plaît";"gardien de la paix";"oui";"oui";"non";"oui";"oui";"inspecteur";"la hiérarchie";"qu'ils vous associent à leurs décisions";"qu'il ait le sens du dialogue avec ses subordonnés";"appliquer le règlement et le sanctionner";"oui";"n'a pas changé";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"l'une ou l'autre";"un ensemble de normes professionnelles";"des connaissances administratives et juridiques";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"des connaissances techniques et juridiques";"prêter assistance";"oui";"non concerné";"en Police Urbaine";"acquérir une spécialisation";"pendant la formation initiale";"oui";"oui";"oui";"oui";"oui";"non";"oui";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Ouvriers";"Employés";36;0;38;34;28;0;0;0;1;0;0;1;1;0
"6";1116;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat technique";"dans une ville petite ou moyenne en métropole";"au service national comme appelé";"P.A.";"curiosité à l'égard du métier";"Pas d'emploi antérieur";"Employés civils et agents de service de la fonction publique";"Inactifs divers (autres que retraités)";"collège";"oui";"des policiers et des gendarmes";"autres (généralement collègues du service national)";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"autres";"parce qu'on contribue au maintien de l'ordre public";"oui";"à la détérioration de la situation économique et sociale";"les immigrés";"pas vraiment d'accord";"pas vraiment d'accord";"pas du tout d'accord";"pas du tout d'accord";"on a beaucoup de contacts humains";"on ne peut pas être assez efficace";"oui";"métier comme un autre";"rassurer les honnêtes gens";"prévenir la délinquance";"une tâche comme une autre";"une responsabilité importante de la police";"se fasse discrète";"d'être ouvert aux autres";"d'être craintif";"je m'en tiendrai aux ordres reçus";"non";"non";"oui";"non";"non";"non";"oui";"non";"le spécialiste de la voie publique";"un spécialiste de la police judiciaire";"de pouvoir compter sur les collègues";"pas d'accord avec lui";"souvent";"respecter scurpuleusement le règlement";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt favorable";"interventions autoritaires non légitimes";"interventions autoritaires non légitimes";"l'influence des médias (presse, télévision, radio)";"non, cela risque d'être préjudiciable à l'activité de la pol";"plutôt défavorable";"oui";"oui pour emploi, conditions de travail, carrière";"vous est indifférent";"gardien de la paix";"oui";"oui";"non";"oui";"oui";"officier de paix";"autres (généralement ""les collègues"")";"qu'ils vous associent à leurs décisions";"qu'il ait le sens du dialogue avec ses subordonnés";"éviter que le public sache";"oui";"s'est plutôt dégradée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"municipale";"un ensemble de normes professionnelles";"des renseignements sur l'organisation et le fonctionnement d";"non";"non";"oui";"oui";"oui";"oui";"oui";"non";"une solide expérience professionnelle";"accueillir, écouter, renseigner les gens";"oui";"non concerné";"en CRS";"sera inutile";"pendant la formation continue";"oui";"oui";"non";"oui";"non";"non";"non";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Employés";"Inactifs";36;0;38;23;40;0;0;0;0;0;1;1;2;0
"7";1117;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BP, BEP";"à l'étranger en Europe";"détenteur d'un emploi";"non concerné";"non concerné";"Employés civils et agents de service de la fonction publique";"Militaires (sans autre indication), sous-officier";"Inactifs divers (autres que retraités)";"non réponse";"oui";"un ou des policiers";"un membre de votre famille";"non réponse";"non";"non concerné";"non concerné";"oui";"vous avez continué à travailler (emploi, stage, intérim)";"parce qu'on contribue au maintien de l'ordre public";"non";"à la détérioration de la situation économique et sociale";"les jeunes";"tout à fait d'accord";"pas vraiment d'accord";"pas du tout d'accord";"pas du tout d'accord";"on a des responsabilités";"on est mal vu";"oui";"métier comme un autre";"rassurer les honnêtes gens";"faire respecter la loi";"une tâche comme une autre";"à la police d'assurer le service d'ordre";"multiplie les patrouilles";"d'être honnête";"d'être indiscipliné";"je m'en tiendrai aux ordres reçus";"oui";"non";"oui";"oui";"non";"non";"oui";"non";"l'homme à tout faire de la Police Nationale";"un spécialiste de la police judiciaire";"de faire un travail intéressant";"d'accord avec lui";"souvent";"mener à bien la mission";"sont à moduler selon les situations";"plutôt pas d'accord";"plutôt indifférente";"application pointilleuse des réglements";"injustice, favoritisme";"l'influence des médias (presse, télévision, radio)";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"oui";"oui pour fonction sociale (utilité, sécurité)";"vous plaît";"gardien de la paix";"oui";"oui";"non";"oui";"oui";"officier de paix";"la famille";"qu'ils vous associent à leurs décisions";"qu'il ait le sens du dialogue avec ses subordonnés";"appliquer le règlement et le sanctionner";"oui";"s'est plutôt améliorée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"municipale";"un ensemble de normes professionnelles";"des renseignements sur l'organisation et le fonctionnement d";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"une solide expérience professionnelle";"surveiller, patrouiller, contrôler, verbaliser";"oui";"non concerné";"en CRS";"acquérir une spécialisation";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"Pas de conjoint";"Employés";"Policiers, militaires";"Inactifs";36;0;17;29;40;0;1;0;0;1;0;0;1;0
"8";1118;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"CAP";"à la campagne en métropole";"détenteur d'un emploi";"non concerné";"non concerné";"Employés administratifs d'entreprise";"Agriculteurs exploitants";"Inactifs divers (autres que retraités)";"reconversion (après vie active)";"non";"ni policiers, ni gendarmes";"non réponse";"relations policiers ou non (famille, parents...)";"oui";"autres concours administratifs civils";"au moins une réussite";"oui";"vous avez continué à travailler (emploi, stage, intérim)";"parce qu'on a la sécurité de l'emploi";"non";"à la détérioration de la situation économique et sociale";"les trafiquants de drogue";"plutôt d'accord";"plutôt d'accord";"pas du tout d'accord";"pas vraiment d'accord";"on se trouve dans des situations variées";"on est mal vu";"oui";"métier comme un autre";"rassurer les honnêtes gens";"prévenir la délinquance";"une tâche comme une autre";"une responsabilité importante de la police";"multiplie les patrouilles";"d'être observateur";"de coller aux ordres";"je m'en tiendrai aux ordres reçus";"non";"non";"oui";"non";"non";"oui";"oui";"non";"la vitrine de la police";"un spécialiste de la police judiciaire";"de travailler dans une bonne ambiance";"d'accord avec lui";"rarement";"mener à bien la mission";"sont à moduler selon les situations";"plutôt d'accord";"plutôt défavorable";"interventions autoritaires non légitimes";"application pointilleuse des réglements";"l'influence des médias (presse, télévision, radio)";"non, cela risque d'être préjudiciable à l'activité de la pol";"plutôt défavorable";"oui";"oui pour d'autres raisons et réponses inclassables";"vous est indifférent";"gardien de la paix";"non";"non";"oui";"oui";"oui";"officier de paix";"les amis";"qu'ils vous associent à leurs décisions";"qu'il soit près de ses hommes";"éviter que le public sache";"oui";"s'est plutôt dégradée";"c'est un renfort appréciable";"utile, la police ne peut pas tout faire";"municipale";"un ensemble de normes professionnelles";"des renseignements sur la façon de se comporter avec les pub";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"oui";"une solide expérience professionnelle";"surveiller, patrouiller, contrôler, verbaliser";"oui";"non concerné";"à la Préfecture de Police de Paris";"vous tenir au courant de l'évolution de la législation et de";"pendant la formation continue";"oui";"oui";"oui";"oui";"oui";"non";"oui";"oui";"Pas de conjoint";"Employés";"Agriculteurs exploitants";"Inactifs";36;0;19;2;40;0;0;0;NA;NA;NA;0;0;0
"9";1119;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"baccalauréat d'enseignement général";"à la campagne en métropole";"au chômage";"non concerné";"non concerné";"Chômeurs n'ayant jamais travaillé";"Employés administratifs d'entreprise";"Personnels des services directs aux particuliers";"enfance";"oui";"un ou des gendarmes";"un ami personnel ou de votre famille";"publicité";"oui";"autres concours Police Nationale (équivalents ou supérieurs)";"échec";"oui";"vous vous êtes inscrit au chômage ou vous y étiez déjà";"parce qu'on contribue au maintien de l'ordre public";"non";"à la démission des parents";"les jeunes";"tout à fait d'accord";"pas du tout d'accord";"plutôt d'accord";"pas du tout d'accord";"on a beaucoup de contacts humains";"on est mal vu";"oui";"métier comme un autre";"rassurer les honnêtes gens";"faire respecter la loi";"une tâche comme une autre";"une responsabilité importante de la police";"se fasse discrète";"d'être ouvert aux autres";"d'être individualiste";"je prendrai des initiatives";"non";"non";"non";"non";"non";"non";"non";"non";"la vitrine de la police";"un supérieur";"de pouvoir compter sur les collègues";"d'accord avec lui";"rarement";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt pas d'accord";"plutôt défavorable";"inefficacité";"application pointilleuse des réglements";"les préjugés du public";"oui, parce que c'est normal dans un régime démocratique";"plutôt défavorable";"non";"ne conseille pas";"vous est indifférent";"gardien de la paix";"oui";"oui";"oui";"oui";"oui";"inspecteur";"la famille";"qu'ils vous associent à leurs décisions";"qu'il ait le sens du dialogue avec ses subordonnés";"appliquer le règlement et le sanctionner";"oui";"s'est plutôt améliorée";"cela entretient la confusion";"utile, la police ne peut pas tout faire";"ni l'une, ni l'autre";"un ensemble de normes professionnelles";"des techniques policières";"non";"non";"non";"non";"non";"non";"non";"non";"des qualités pédagogiques";"faire du maintien de l'ordre";"oui";"non concerné";"en Police Urbaine";"avoir une promotion";"pendant la formation initiale";"oui";"non";"oui";"oui";"oui";"non";"non";"oui";"Pas de conjoint";"Inactifs";"Employés";"Employés";36;0;33;25;28;0;0;0;1;0;0;0;1;0
"10";1120;"masculin";"entre 21 et 25 ans";"célibataire vivant seul(e)";"Pas de conjoint";"aucun";"BP, BEP";"à la campagne en métropole";"au service national comme appelé";"P.A.";"anticipation de carrière";"Pas d'emploi antérieur";"Contremaîtres, agents de maîtrise";"Non réponse";"enfance";"oui";"un ou des policiers";"un membre de votre famille";"relations policiers ou non (famille, parents...)";"non";"non concerné";"non concerné";"oui";"vous avez effectué votre service national";"parce qu'on est utile";"oui";"à la détérioration de la situation économique et sociale";"les trafiquants de drogue";"pas vraiment d'accord";"tout à fait d'accord";"pas vraiment d'accord";"pas vraiment d'accord";"on se trouve dans des situations variées";"on ne peut pas être assez efficace";"oui";"métier comme un autre";"faire peur aux délinquants";"faire respecter la loi";"une tâche comme une autre";"aux organisateurs de prendre les mesures nécessaires";"se fasse discrète";"d'être honnête";"d'être individualiste";"je prendrai des initiatives";"oui";"non";"oui";"non";"non";"oui";"oui";"non";"la vitrine de la police";"un collègue";"de faire un travail intéressant";"pas d'accord avec lui";"souvent";"mener à bien la mission";"sont impératives, on ne sait jamais ce qui peut arriver";"plutôt d'accord";"plutôt défavorable";"injustice, favoritisme";"inefficacité";"l'utilisation que font les pouvoirs publics de la police";"non, cela risque d'être préjudiciable à l'activité de la pol";"plutôt défavorable";"non";"ne conseille pas";"vous gêne un peu";"gardien de la paix";"oui";"oui";"oui";"oui";"oui";"inspecteur";"la famille";"qu'ils vous associent à leurs décisions";"qu'il soit près de ses hommes";"éviter que le public sache";"oui";"n'a pas changé";"c'est le signe que la police nationale n'arrive plus à rempl";"dangereux car ils ne sont pas formés";"ni l'une, ni l'autre";"un ensemble de normes professionnelles";"des connaissances administratives et juridiques";"oui";"non";"oui";"non";"oui";"oui";"non";"oui";"des connaissances techniques et juridiques";"faire de l'ilotage";"non";"par manque d'expérience du terrain";"en Police Urbaine";"acquérir une spécialisation";"pendant la formation continue";"oui";"oui";"non";"oui";"oui";"non";"non";"oui";"Pas de conjoint";"Pas d'emploi antérieur";"Professions intermédiaires";"Non réponse";36;0;38;21;1;NA;0;0;0;1;0;1;1;0
